(-205, 98)
(-178, 105)
(-158, 107)
(-158, 111)
(-175, 122)
(-133, 122)
(-84, 114)
(-100, 143)
(-125, 129)
(-101, 134)
(-79, 140)
(-90, 139)
(-39, 167)
(-68, 170)
(-38, 164)
(-30, 183)
(18, 233)
(-8, 201)
(50, 261)
(84, 318)
(100, 295)
(111, 304)
(111, 300)
(113, 332)
(137, 330)
(138, 331)
(129, 334)
(141, 349)
(152, 339)
(154, 331)
(156, 319)
(168, 320)
(177, 326)
(169, 295)
(151, 291)
(199, 293)
(201, 280)
(216, 303)
(205, 288)
(230, 268)
(219, 261)
(220, 271)
(218, 251)
(178, 214)
(236, 238)
(206, 231)
(217, 247)
(206, 263)
(250, 240)
(247, 219)
(191, 247)
(223, 255)
(204, 232)
(266, 228)
(231, 221)
(235, 242)
(233, 226)
(246, 219)
(222, 225)
(250, 220)
(254, 216)
(264, 224)
(268, 223)
(257, 220)
(244, 226)
(280, 231)
(264, 241)
(262, 228)
(248, 243)
(238, 241)
(264, 228)
(269, 238)
(226, 229)
(224, 235)
(258, 251)
(246, 231)
(227, 217)
(235, 228)
(215, 264)
(264, 240)
(232, 257)
(268, 228)
(249, 239)
(212, 258)
(232, 229)
(203, 255)
(248, 242)
(245, 245)
(245, 231)
(239, 239)
(241, 239)
(240, 234)
(257, 243)
(230, 229)
(264, 232)
(249, 228)
(260, 242)
(270, 230)
(261, 229)
(267, 226)
(280, 236)
(258, 229)
(242, 246)
(257, 230)
(261, 228)
(277, 219)
(252, 222)
(256, 234)
(263, 230)
(263, 217)
(258, 229)
(263, 236)
(270, 220)
(263, 232)
(260, 235)
(210, 216)
(272, 225)
(267, 224)
(267, 236)
(231, 245)
(253, 242)
(232, 215)
(240, 216)
(277, 224)
(279, 221)
